雪茄,税前价格,折扣,原价,链接
Montecristo - No. 2 1 piece,15.40,0,15.40,https://selected-cigars.com/en/montecristo-no-2
"Montecristo - No. 2 10pcs, wooden Box",144.90,-3%,149.38,https://selected-cigars.com/en/montecristo-no-2
"Montecristo - No. 2 25pcs, wooden Box",362.25,-3%,373.45,https://selected-cigars.com/en/montecristo-no-2
Hoyo de Monterrey - Epicure Especial 1 piece,13.30,0,13.30,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-especial
"Hoyo de Monterrey - Epicure Especial 1 piece, Alu Tubo",14.30,0,14.30,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-especial
"Hoyo de Monterrey - Epicure Especial 3pcs, Alu Tubo",40.36,-3%,41.61,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-especial
"Hoyo de Monterrey - Epicure Especial 10pcs, wooden Box",125.14,-3%,129.01,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-especial
"Hoyo de Monterrey - Epicure Especial 25pcs, wooden Box",312.85,-3%,322.53,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-especial
Trinidad - Coloniales 1 piece,12.80,0,12.80,https://selected-cigars.com/en/trinidad-coloniales
"Trinidad - Coloniales 24pcs, wooden Box",289.04,-3%,297.98,https://selected-cigars.com/en/trinidad-coloniales
Ramón Allones - Specially Selected 1 piece,10.00,0,10.00,https://selected-cigars.com/en/ramon-allones-specially-selected
"Ramón Allones - Specially Selected 50pcs, wooden Box",470.45,-3%,485.00,https://selected-cigars.com/en/ramon-allones-specially-selected
"Ramón Allones - Specially Selected 25pcs, wooden Box",235.22,-3%,242.50,https://selected-cigars.com/en/ramon-allones-specially-selected
Hoyo de Monterrey - Epicure No. 2 1 piece,11.20,0,11.20,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-no-2
"Hoyo de Monterrey - Epicure No. 2 1 piece, Alu Tubo",12.60,0,12.60,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-no-2
Hoyo de Monterrey - Epicure No. 2 3pcs,31.61,-3%,32.59,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-no-2
"Hoyo de Monterrey - Epicure No. 2 3pcs, Alu Tubo",35.57,-3%,36.67,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-no-2
"Hoyo de Monterrey - Epicure No. 2 25pcs, wooden Box",263.45,-3%,271.60,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-no-2
"Hoyo de Monterrey - Epicure No. 2 50pcs, wooden Box",526.90,-3%,543.20,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-no-2
Por Larrañaga - Petit Coronas 1 piece,6.90,0,6.90,https://selected-cigars.com/en/por-larra-aga-petit-coronas
"Por Larrañaga - Petit Coronas 50pcs, wooden Box",324.61,-3%,334.65,https://selected-cigars.com/en/por-larra-aga-petit-coronas
Partagás - Lusitanias 1 piece,19.30,0,19.30,https://selected-cigars.com/en/catalog/product/view/id/1274/s/partagas-lusitanias/category/107/
"Partagás - Lusitanias 10pcs, wooden Box",181.59,-3%,187.21,https://selected-cigars.com/en/catalog/product/view/id/1274/s/partagas-lusitanias/category/107/
"Partagás - Lusitanias 25pcs, wooden Box",453.99,-3%,468.03,https://selected-cigars.com/en/catalog/product/view/id/1274/s/partagas-lusitanias/category/107/
"Partagás - Lusitanias 50pcs, wooden Box",907.97,-3%,936.05,https://selected-cigars.com/en/catalog/product/view/id/1274/s/partagas-lusitanias/category/107/
Jose La Piedra - Cazadores 1 piece,2.40,0,2.40,https://selected-cigars.com/en/jose-la-piedra-cazadores
Jose La Piedra - Cazadores 5pcs,11.29,-3%,11.64,https://selected-cigars.com/en/jose-la-piedra-cazadores
Jose La Piedra - Cazadores 25pcs,56.45,-3%,58.20,https://selected-cigars.com/en/jose-la-piedra-cazadores
Montecristo - No. 4 1 piece,9.00,0,9.00,https://selected-cigars.com/en/montecristo-no-4
Montecristo - No. 4 3pcs Box,25.40,-3%,26.19,https://selected-cigars.com/en/montecristo-no-4
Montecristo - No. 4 5pcs Box,42.34,-3%,43.65,https://selected-cigars.com/en/montecristo-no-4
"Montecristo - No. 4 10pcs, wooden Box",84.68,-3%,87.30,https://selected-cigars.com/en/montecristo-no-4
"Montecristo - No. 4 25pcs, wooden Box",211.70,-3%,218.25,https://selected-cigars.com/en/montecristo-no-4
Trinidad Vigía Alu Tubo 1 piece,15.60,0,15.60,https://selected-cigars.com/en/trinidad-vigia
Trinidad Vigía Alu Tubo 3pcs,44.04,-3%,45.40,https://selected-cigars.com/en/trinidad-vigia
Rafael González - Perlas 1 piece,4.60,0,4.60,https://selected-cigars.com/en/rafael-gonzalez-perlas
"Rafael González - Perlas 25pcs, wooden Box",108.20,-3%,111.55,https://selected-cigars.com/en/rafael-gonzalez-perlas
Hoyo de Monterrey San Juan 1Pc,15.80,0,15.80,https://selected-cigars.com/en/hoyo-de-monterrey-san-juan-2749
Hoyo de Monterrey San Juan AT 1pc,17.10,0,17.10,https://selected-cigars.com/en/hoyo-de-monterrey-san-juan-2749
Hoyo de Monterrey San Juan AT 3pcs,48.27,-3%,49.76,https://selected-cigars.com/en/hoyo-de-monterrey-san-juan-2749
"Hoyo de Monterrey San Juan 10pcs, wooden Box",148.66,-3%,153.26,https://selected-cigars.com/en/hoyo-de-monterrey-san-juan-2749
"Hoyo de Monterrey San Juan 25pcs, wooden Box",371.66,-3%,383.15,https://selected-cigars.com/en/hoyo-de-monterrey-san-juan-2749
QUINTERO TUBULARES - 1 piece,3.60,0,3.60,https://selected-cigars.com/en/quintero-tubulares
QUINTERO TUBULARES - 3pcs,10.17,-3%,10.48,https://selected-cigars.com/en/quintero-tubulares
Romeo y Julieta - Belvederes 1 piece,4.50,0,4.50,https://selected-cigars.com/en/romeo-y-julieta-belvederes
"Romeo y Julieta - Belvederes 25pcs, wooden Box",105.86,-3%,109.13,https://selected-cigars.com/en/romeo-y-julieta-belvederes
Fonseca - Cosacos 1 piece,6.40,0,6.40,https://selected-cigars.com/en/fonseca-cosacos
"Fonseca - Cosacos 25 pcs, wooden Box",150.54,-3%,155.20,https://selected-cigars.com/en/fonseca-cosacos
"Romeo y Julieta - Julieta 5pcs, sheet metal crate",29.17,-3%,30.07,https://selected-cigars.com/en/romeo-y-julieta-julieta
ROMEO Y JULIETA PETIT ROYALES - 1 PC,8.10,0,8.10,https://selected-cigars.com/en/romeo-y-julieta-petit-royales
ROMEO Y JULIETA PETIT ROYALES TUBO - 1 PC,9.90,0,9.90,https://selected-cigars.com/en/romeo-y-julieta-petit-royales
ROMEO Y JULIETA PETIT ROYALES - 25 PCS,190.54,-3%,196.43,https://selected-cigars.com/en/romeo-y-julieta-petit-royales
Hoyo de Monterrey - Hoyo du Depute 1 piece,6.90,0,6.90,https://selected-cigars.com/en/hoyo-de-monterrey-hoyo-du-depute
"Hoyo de Monterrey - Hoyo du Depute 25pcs, wooden Box",162.31,-3%,167.33,https://selected-cigars.com/en/hoyo-de-monterrey-hoyo-du-depute
Romeo y Julieta - Sport Largos 1 piece,4.00,0,4.00,https://selected-cigars.com/en/romeo-y-julieta-sport-largos
"Romeo y Julieta - Sport Largos 25pcs, wooden Box",94.09,-3%,97.00,https://selected-cigars.com/en/romeo-y-julieta-sport-largos
Romeo y Julieta - Cedros de Luxe No. 2 1 piece,10.50,0,10.50,https://selected-cigars.com/en/romeo-y-julieta-cedros-de-luxe-no-2
"Romeo y Julieta - Cedros de Luxe No. 2 25pcs, wooden Box",246.52,-3%,254.14,https://selected-cigars.com/en/romeo-y-julieta-cedros-de-luxe-no-2
Romeo y Julieta - Petit Julietas 1 piece,5.10,0,5.10,https://selected-cigars.com/en/romeo-y-julieta-petit-julietas
Romeo y Julieta - Petit Julietas 5pcs Box,22.12,-3%,22.80,https://selected-cigars.com/en/romeo-y-julieta-petit-julietas
"Romeo y Julieta - Petit Julietas 25pcs, wooden Box",119.97,-3%,123.68,https://selected-cigars.com/en/romeo-y-julieta-petit-julietas
"Romeo y Julieta - Romeo No. 3 1 piece, Alu Tubos",6.50,0,6.50,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-3
"Romeo y Julieta - Romeo No. 3 3pcs, Alu Tubos",18.35,-3%,18.92,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-3
"Romeo y Julieta - Romeo No. 3 10pcs, Alu Tubos",61.16,-3%,63.05,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-3
"Romeo y Julieta - Romeo No. 3 25pcs,Alu Tubos",152.90,-3%,157.63,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-3
Bolívar - Tubos No. 2 A/T 1pc,9.70,0,9.70,https://selected-cigars.com/en/bolivar-tubos-no-2
Bolívar - Tubos No. 2 A/T 25pcs Box,228.17,-3%,235.23,https://selected-cigars.com/en/bolivar-tubos-no-2
"Montecristo - Petit 1 piece, Alu Tubos",10.40,0,10.40,https://selected-cigars.com/en/montecristo-petit-alu-tubo
"Montecristo - Petit 3pcs, Alu Tubos",31.05,-3%,32.01,https://selected-cigars.com/en/montecristo-petit-alu-tubo
"Montecristo - Petit 5pcs, Alu Tubos",48.93,-3%,50.44,https://selected-cigars.com/en/montecristo-petit-alu-tubo
"Montecristo - Petit 25pcs, Alu Tubos",244.63,-3%,252.20,https://selected-cigars.com/en/montecristo-petit-alu-tubo
Quintero - Brevas 1 piece,2.70,0,2.70,https://selected-cigars.com/en/quintero-brevas
"Quintero - Brevas 25pcs, wooden Box",63.52,-3%,65.48,https://selected-cigars.com/en/quintero-brevas
Romeo y Julieta - Cedros de Luxe No. 3 1 piece,8.50,0,8.50,https://selected-cigars.com/en/romeo-y-julieta-cedros-de-luxe-no-3
"Romeo y Julieta - Cedros de Luxe No. 3 25pcs, wooden Box",199.95,-3%,206.13,https://selected-cigars.com/en/romeo-y-julieta-cedros-de-luxe-no-3
Quintero - Londres Extra 1 piece,3.00,0,3.00,https://selected-cigars.com/en/quintero-londres-extra
Quintero - Londres Extra 25pcs box,70.57,-3%,72.75,https://selected-cigars.com/en/quintero-londres-extra
Quintero - Panetelas 1 piece,2.50,0,2.50,https://selected-cigars.com/en/quintero-panetelas
"Quintero - Panetelas 25pcs, wooden Box",58.81,-3%,60.63,https://selected-cigars.com/en/quintero-panetelas
Guantanamera - Decimos 1 piece,1.65,0,1.65,https://selected-cigars.com/en/guantanamera-decimos
Guantanamera - Decimos 5pcs,8.00,-3%,8.25,https://selected-cigars.com/en/guantanamera-decimos
Guantanamera - Decimos 10pcs,16.00,-3%,16.49,https://selected-cigars.com/en/guantanamera-decimos
Guantanamera - Decimos 25pcs,38.81,-3%,40.01,https://selected-cigars.com/en/guantanamera-decimos
"Romeo y Julieta - Romeo No. 1 1 piece, Alu Tubos",7.40,0,7.40,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-1
"Romeo y Julieta - Romeo No. 1 3pcs, Alu Tubos",21.08,-3%,21.73,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-1
"Romeo y Julieta - Romeo No. 1 10pcs, Alu Tubos",69.63,-3%,71.78,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-1
"Romeo y Julieta - Romeo No. 1 25pcs, Alu Tubos",174.07,-3%,179.45,https://selected-cigars.com/en/romeo-y-julieta-romeo-no-1
Montecristo - No. 3 1 piece,11.60,0,11.60,https://selected-cigars.com/en/montecristo-no-3
Montecristo - No. 3 5pcs  Box,54.57,-3%,56.26,https://selected-cigars.com/en/montecristo-no-3
"Montecristo - No. 3 25pcs, wooden Box",272.86,-3%,281.30,https://selected-cigars.com/en/montecristo-no-3
Hoyo de Monterrey - Epicure No. 1 1 piece,12.20,0,12.20,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-no-1
"Hoyo de Monterrey - Epicure No. 1 25pcs, wooden Box",286.97,-3%,295.85,https://selected-cigars.com/en/hoyo-de-monterrey-epicure-no-1
Partagás - Petit Coronas Especiales 1 piece,5.20,0,5.20,https://selected-cigars.com/en/partagas-petit-coronas-especiales
"Partagás - Petit Coronas Especiales 25pcs, wooden Box",122.32,-3%,126.10,https://selected-cigars.com/en/partagas-petit-coronas-especiales
Quintero - Petit Quinteros 1 piece,2.30,0,2.30,https://selected-cigars.com/en/quintero-petit-quinteros
Quintero - Petit Quinteros 25pcs Box,54.11,-3%,55.78,https://selected-cigars.com/en/quintero-petit-quinteros
Vegueros - Tapados 1pc,6.60,0,6.60,https://selected-cigars.com/en/vegueros-tapados
Vegueros - Tapados 4 box,24.84,-3%,25.61,https://selected-cigars.com/en/vegueros-tapados
Vegueros - Tapados 16 box,99.36,-3%,102.43,https://selected-cigars.com/en/vegueros-tapados
Romeo y Julieta - Exhibición No. 4 1 piece,10.90,0,10.90,https://selected-cigars.com/en/romeo-y-julieta-exhibicion-no-4
"Romeo y Julieta - Exhibición No. 4 25pcs, wooden Box",256.40,-3%,264.33,https://selected-cigars.com/en/romeo-y-julieta-exhibicion-no-4
Montecristo - OPEN Regata 1 piece,10.00,0,10.00,https://selected-cigars.com/en/montecristo-open-regata
"Montecristo - OPEN Regata 1 piece, Alu Tubos",11.20,0,11.20,https://selected-cigars.com/en/montecristo-open-regata
"Montecristo - OPEN Regata 20pcs, wooden Box",188.18,-3%,194.00,https://selected-cigars.com/en/montecristo-open-regata
"Partagás - Coronas Senior 1 piece,Alu Tubos",6.80,0,6.80,https://selected-cigars.com/en/partagas-coronas-senior
"Partagás - Coronas Senior 25 pcs, Alu Tubos",159.95,-3%,164.90,https://selected-cigars.com/en/partagas-coronas-senior
"Hoyo de Monterrey - Coronations 1piece, Alu Tubos",7.00,0,7.00,https://selected-cigars.com/en/hoyo-de-monterrey-coronations
"Hoyo de Monterrey - Coronations 3pcs, Alu Tubos",19.76,-3%,20.37,https://selected-cigars.com/en/hoyo-de-monterrey-coronations
"Hoyo de Monterrey - Coronations 25pcs, Alu Tubos",164.66,-3%,169.75,https://selected-cigars.com/en/hoyo-de-monterrey-coronations
"Partagás - Partagás de Luxe 1 piece, Alu Tubos",7.50,0,7.50,https://selected-cigars.com/en/partagas-partagas-de-luxe
"Partagás - Partagás de Luxe 10pcs, Alu Tubos",70.57,-3%,72.75,https://selected-cigars.com/en/partagas-partagas-de-luxe
"Partagás - Partagás de Luxe 25pcs, Alu Tubos",176.42,-3%,181.88,https://selected-cigars.com/en/partagas-partagas-de-luxe
Montecristo - No. 5 1 piece,7.30,0,7.30,https://selected-cigars.com/en/montecristo-no-5
Montecristo - No. 5 5pcs Box,34.35,-3%,35.41,https://selected-cigars.com/en/montecristo-no-5
"Montecristo - No. 5 10pcs, wooden Box",68.69,-3%,70.81,https://selected-cigars.com/en/montecristo-no-5
"Montecristo - No. 5 25pcs, wooden Box",171.72,-3%,177.03,https://selected-cigars.com/en/montecristo-no-5
Rafael González - Petit Coronas 1 piece,6.80,0,6.80,https://selected-cigars.com/en/rafael-gonzalez-petit-coronas
"Rafael González - Petit Coronas 25pcs, wooden Box",159.95,-3%,164.90,https://selected-cigars.com/en/rafael-gonzalez-petit-coronas
"Montecristo - Tubos 1 piece, Alu Tubos",15.80,0,15.80,https://selected-cigars.com/en/montecristo-tubos
Montecristo - Tubos 25pcs Box,371.66,-3%,383.15,https://selected-cigars.com/en/montecristo-tubos
Romeo y Julieta - Regalias de Londres 1 piece,4.90,0,4.90,https://selected-cigars.com/en/romeo-y-julieta-regalias-de-londres
"Romeo y Julieta - Regalias de Londres 25pcs, wooden Box",115.27,-3%,118.83,https://selected-cigars.com/en/romeo-y-julieta-regalias-de-londres
Fonseca - KDT Cadetes 1 piece,3.90,0,3.90,https://selected-cigars.com/en/fonseca-kdt-cadetes
"Fonseca - KDT Cadetes 25pcs, wooden Box",91.74,-3%,94.58,https://selected-cigars.com/en/fonseca-kdt-cadetes
